,Loan Type,Product Name,Product Features,Eligibility Criteria
0,담보대출,당행 예부적금 등 수신금리연동담보대출,"상품특징당행 예·부·적금, 당행 발행 양도성예금증서(CD), 당행 발행 표지어음, 당행 발행 환매조건부채권(RP) 및 당행 신탁 등을 거래하는 고객이 이를 담보로 대출 실행","대출신청자격은행이 인정하는 본인 단독명의의 당행 예·부·적금·신탁 등을 담보로 제공하는 자다음의 경우에는 담보대출 취급불가☞예금 신규 가입일을 포함하여 2영업일 이내의 예금담보대출.다만, 재예치 예금 또는 주택청약예금/부금의 지역간 예치금액변경 및 평형변경은 제외☞계약해지의제좌에 편입된 적립식 예금의 담보대출☞수신금리가 일반 공시금리 미만인 예금 담보대출☞예금잔액증명서 발급계좌에 대한 발급 당일 담보대출☞당행 신탁 중 비과세 가계신탁은 은행대출의 담보로 할 수 없으며, 신탁대출로만 운용☞중장기주택부금을 담보로 대출취급 불가☞복수 예·부·적금 담보로 하는 경우 최대 5계좌까지 가능(일반예금과 아래 각호의 예금 상호간 또는 아래 각호의 예금 상호간 복수담보 취득 불가)-차세대주택종합통장[차세대주택종합통장내 주택부금(청약예금 포함),정기예금(청약예금 포함) 상호간 복수담보 취급불가]-당행 신탁(당행 신탁 상호간에도 복수담보 취급 불가)- 수신금리연동대출로 취급이 불가한 예금[투자신탁, 외화예금 등]"
1,자동차대출,KB 매직카대출(중고차 구매用),"상품특징캐피탈 대비 유리한 금리조건으로 중고차를 구매하려는 고객을 위한 비대면 전용 대출상품취급수수료, 근저당설정 부담 없음.","대출신청자격중고차 구입 목적으로 자동차매매업자와 계약(경·공매, 리스완료 후 구매 포함)을 체결하고 소득증빙이 가능한 만 19세 이상 개인고객※ 대출대상 : 근로소득자(6개월 이상), 사업소득자(12개월 이상), 연금소득자※ 대상차종 : 승용차, 승합차, 화물차(5톤 이하)(개인택시, 캠핑카 및 카라반, 수입차 포함)☞ 최초 자동차등록일로부터 15년 이내인 차량으로 대출실행 후 소유권 이전 필수☞ 자동차매매업자가 알선하지 않은 개인간 매매거래 제외"
2,주택도시기금대출,신혼희망타운전용 주택담보장기대출,상품특징주택도시기금과 LH 신혼희망타운 분양계약자가 주택매각 또는 대출상환 시 주택가격 상승에 따른 처분(평가)수익을 공유하는 저금리 주택구입자금대출[국토교통부 주택도시기금포털 바로가기],대출신청자격LH 신혼희망타운 분양계약을 체결한 만 19세 이상의 무주택 세대주(세대원 포함)※ 대출신청일 현재 세대주를 포함한 세대원 전원이 무주택인 고객
3,담보대출,KB 주택구입자금대출(집단 입주잔금대출),상품특징분양받은 주택에 입주예정으로 분양대금 잔금을 납부하려는 고객을 위한 맞춤상품,대출신청자격은행이 승인한 사업장의 입주예정자(‘무보증취급 후 후취담보 취득’ 방식은 수분양자 본인이 입주하는 경우만 가능)
4,담보대출,KB내집연금 연계대출,상품특징「KB골든라이프 공사주택연금론(주담대전환형)」으로 기존 주택담보대출을 전환하는 고객 중 상환자금이 부족한 고객을 지원하는 대출 상품,대출신청자격「KB골든라이프 공사주택연금론(주담대전환형)」을 신청하고 해당 대출만으로 기존 주택담보대출을 전액상환하기에는 자금이 부족하여 추가 대출이 필요한 고객※서울보증보험(주)의 개인금융신용보험증권 발급이 가능한 고객
5,신용대출,KB 직장인든든 신용대출,"상품특징직장인이라면 신청 가능'내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","대출신청자격재직기간 3개월 이상 당행 선정 우량 직장인 및 재직기간 6개월 이상 일반 직장인☞ 단, ""정규직 공무원(최종합격자 포함), 군인(중사 이상), 교사""는 재직기간 관계없음"
6,담보대출,장애인자립자금대출,상품특징보건복지부 선정 성년 등록장애인 대상 가계안정자금대출 지원신용대출 또는 담보대출로 신청 가능,대출신청자격거주지 구청장으로부터 융자추천을 받은 성년등록장애인- 융자추천은「복지대상자 자금대여 결정통지서」로 확인
7,신용대출,KB 제휴 대환 신용대출,상품특징씨티은행 개인 신용대출 보유 고객을 위한 씨티은행 제휴 대환 신용대출,대출신청자격한국씨티은행 개인 신용대출을 이용중인 고객
8,담보대출,KB 주택구입자금대출,상품특징◈ 기존 국민은행 거래 실적 없이 신속하게 대출 취급◈ 다양한 금리조건과 상환방법◈ 시세정보있는 공동주택의 경우 인터넷상에서 대출가능금액 즉시 조회 가능,대출신청자격주택을 구입하시는 분
9,신용대출,휴·폐업 개인사업자 신용대출에 대한 가계대출 채무조정프로그램,상품특징약정기일 경과 또는 연체 중인 개인사업자 신용대출을 가계신용대출로 전환,대출신청자격개인신용평가시스템(CSS) 등에 의해 산출된 의무상환금액(잔액 X 의무상환비율(최대 20%))만큼을 상환한 고객(신용관리정보 등록고객 포함)
10,전월세/반환보증,[특판]KB 든든 주택전세자금대출,상품특징전세 신규입주 또는 계약갱신을 하시는 고객님께 최고 임차보증금의 80%까지 한국주택금융공사 보증서 담보로 지원하는 대출상품,"대출신청자격민법상 성년인 세대주 또는 세대주로 인정되는 자로서 「주택금융신용보증서」가 발급되는 고객으로서 아래의 사항을 모두 충족하는 고객1. 임차보증금이 수도권 7억원(그 외 지역 5억원) 이하인 임대차계약을 체결하고,임차보증금의 5% 이상을 지급한 경우2. 본인과 배우자(결혼예정자 포함)의 합산 주택수가 1주택* 이내인 경우* 보유 중인 주택이 2020.7.10일 이후 투기지역 또는 투기과열지구 내 소재한 주택으로서 취득시점 주택가액이 3억원을 초과하는 아파트를 구입한 경우에는 대출대상에서 제외. 단, 실수요 요건을 증빙하는 경우 신청 가능"
11,담보대출,한국주택금융공사 아낌e-보금자리론,상품특징한국주택금융공사가 사전에 양수 적격여부를 심사하여 고객의 대출금리를 낮춘 장기 고정금리 상품으로 향후 금리 변동의 위험을 피하고자 하는 고객에게 적합한 상품(인터넷 비대면 약정),"대출신청자격민법상 성년으로 무주택자(채무자와 배우자 기준)로서 부부합산 연소득이 7천만원 이하인 대한민국 국민, 주민등록을 한 재외국민 및 외국국적동포- 단, 아래의 경우 해당 소득 금액 이내로 적용하며, 전세사기 피해자는 소득제한 없음ㅇ 신혼가구 : 85백만원ㅇ 1자녀가구 : 80백만원ㅇ 2자녀가구 : 90백만원ㅇ 다자녀가구 : 1억원☞ 전세사기피해자 중 전세사기 피해주택을 처분조건부로 대출을 신청한 경우 일시적 2주택자도 취급 가능"
12,신용대출,부산광역시 동구 협약대출[2022.06.10 판매중단],상품특징부산광역시 동구의 융자추천을 받은 고객님께 최대 2천만원까지 확정금리 연 2.0%[거치기간(2년) 중에는 0%]를 제공하는 협약대출 상품.,대출신청자격부산광역시 동구의 융자추천을 받은 고객으로서 연대보증인 입보가 가능한 고객
13,담보대출,부동산 담보대출 채무조정 전환제도,"상품특징실직, 폐업, 질병, 상해, 자연재해 등으로 일시적 유동성이 부족한 고객에 대해 분할상환으로 전환","대출신청자격가계 부동산 담보대출로서 아래의 경우를 모두 충족하고, 재무적 곤란 사유를 제출하는 고객① 대출 신규일로부터 1년 이상 경과된 계좌② 대출잔액(한도거래대출은 한도약정액)이 1억원 이하인 계좌※ 주택담보대출은 주택담보대출 채무조정 전환제도 활용※ 재무적 곤란 사유재무적 곤란 사유구 분 내 용실직,폐업- 대출신청일 현재 실직, 폐업(휴업)한 경우(최근 6개월 이내)기타사유- 본인 또는 가족의 질병·상해 등으로 인해 의료비 지출규모가 연소득의 10%를초과하는 경우- 본인의 사망(채무를 인수하는 경우에 한함)- 본인 거주주택에 자연재해가 발생한 경우"
14,담보대출,안심전환대출,상품특징당행 주택담보대출의 잔액만큼 대환가능한 상품으로서 고객의 대출금리를 낮춘 장기 고정금리 상품으로 향후 금리 변동의 위험을 피하고자 하는 고객에게 적합한 상품(인터넷 비대면 약정),대출신청자격민법상 성년으로 ①주택 보유 수 ②주택 가격 ③소득 자격을 모두 충족하는 대한민국 국민① 주택 보유 수 : 본건 1주택 (채무자 및 배우자 기준)② 주택 가격 : 시세 6억원 이하③ 소득 : 부부합산 1억원 이하 (소득증빙 필수)
15,신용대출,KB WISE 직장인대출[2019.09.27 판매중단],"상품특징대기업 또는 공공기관 재직 임직원을 위한 신용대출 상품거래실적에 따른 우대금리 및 자유로운 상환방식(종합통장자동대출, 일시상환, 분할상환)'내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","대출신청자격다음에 해당하는 우량업체(기관)에 1년이상 재직중인 임직원☞ 상호출자제한기업 중 상장회사, 코스탁등록업체☞ 언론기관 중 전국일간지 및 방송3사(KBS,MBC,SBS)☞ 공공기관(공기업, 준정부기관,기타공공기관, 지방공기업)☞ KB금융지주계열사"
16,신용대출,KB 안전망 대출[2019.11.05 판매중단],상품특징금융소외자의 고금리대출을 「국민행복기금」의 신용보증을 통해 제도권 금융기관 대출로 전환매 6개월마다 국민행복기금 보증료 할인을 통해 금리부담 경감,대출신청자격연 24% 초과 고금리대출 이용고객 중 해당 대출의 만기일이 3개월 이내로서 ㈜국민행복기금의 신용보증서 발급이 가능한 고객
17,신용대출,Liiv M 폰 드림 대출[2022.04.29 판매중단],상품특징Liiv M 서비스 이용 및 이용 예정고객을 대상으로 단말기 구입에 필요한 자금을 지원하고 원금을 분할 상환하는 비대면전용 소액 신용대출상품,대출신청자격Liiv M 기존 이용 또는 신규개통(번호이동) 예정으로 단말기 구입자금이 필요한 고객* Liiv M(리브모바일) : KB국민은행의 혁신금융서비스로 금융권 최초로 제공하는 이동통신서비스
18,신용대출,KB 4대연금 신용대출,"상품특징4대연금(국민연금, 군인연금, 공무원연금, 사학연금)을 국민은행으로 수령하는 고객에게 대출한도와 금리를 우대하는 연금수급권자 전용 신용대출 상품'내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","대출신청자격4대연금(국민연금, 군인연금, 공무원연금, 사학연금) 중 어느 하나를 매월(1회 이상) 국민은행 계좌를 통해 수령하는 고객으로 개인신용평가시스템(CSS)에 의해 대출적격자로 판정된 고객※ 단, 일시금 수령자 및 연금이체 예정자는 제외"
19,전월세/반환보증,광주광역시 재난관리기금 협약대출,상품특징광주광역시의 융자추천을 받은 고객님께 전세자금대출을 지원하는 대출상품KB국민은행 광주종합금융센터 또는 광주시청(점)에서만 대출신청 가능,"대출신청자격광주광역시의 융자추천을 받은 고객 중 임차보증금이 수도권 5억원(그 외 지역 3억원) 이하인 임대차계약을 체결하고, 임차보증금의 5% 이상을 계약금으로 지급한 민법상 성년인 세대주 또는 세대주로 인정되는 자로서 「주택금융신용보증서」가 발급되는 고객본인과 배우자(결혼예정자 포함)의 합산 주택수가1주택* 이내인 경우* 보유 중인 주택이 2020.7.10일 이후 투기지역 또는 투기과열지구 내 소재한 주택으로서 취득시점 주택가액이 3억원을 초과하는 아파트를 구입한 경우에는 대출대상에서 제외. 단, 실수요 요건을 증빙하는 경우 신청 가능"
20,자동차대출,KB 매직카대출(신차 대환),"상품특징다른 금융기관(은행권 제외)에서 받은 신차할부금융을 KB국민은행으로 대환하고 분할상환하는 대출상품별도의 취급수수료, 보험료, 근저당설정 부담 없음","대출신청자격다른 금융기관(은행권 제외)에서 신차 구매를 목적으로 받은 자동차할부금융(대출)을 KB국민은행으로 대환하고자 하는 고객으로서 소득증빙이 가능한 만 19세 이상 개인고객※ 대출대상 : 근로소득자(6개월 이상), 사업소득자(12개월 이상), 연금소득자※ 대상차종 : 승용차, 승합차 및 화물차(5톤 이하)(개인택시, 캠핑카 및 카라반, 수입차 포함)☞ 기존 자동차할부금융(대출) 대출실행일은 최초자동차등록일 전·후 30일 이내여야 합니다☞ 본건 대출실행일 기준 대환대출 해당 자동차는 최초자동차등록일로부터 5년 이내여야 합니다"
21,주택도시기금대출,(비대면신청)버팀목 전세자금대출,"상품특징영업점 방문 없이 비대면으로 신청 가능고객님의 정보에 맞추어 일반, 신혼, 청년, 중소기업취업(창업)청년 버팀목을 추천※각 상품별 세부 내용은 아래 상품안내를 참고해주시기 바랍니다.※일부 가입조건은 비대면을 통한 신청이 제한될 수 있으며, 영업점을 통한 신청만 가능합니다.[버팀목전세자금대출(일반,신혼) 상품안내 바로가기][청년전용 버팀목전세자금대출 상품안내 바로가기][중소기업 취업(창업)청년 버팀목전세자금대출 상품안내 바로가기][국토교통부 주택도시기금 포털 바로가기][국토교통부 주택전세 지원마법사 바로가기]","대출신청자격주택임대차계약을 체결하여 임차보증금의 5% 이상 지불하고, 아래의 요건을 모두 갖춘 고객1. 대출신청일 현재 민법상 성년인 세대주주1) 또는 세대주로 인정되는 자주2)주1) 대출실행일로부터 1개월 이내에 세대분가 또는 세대합가로 인한 세대주 예정자 포함주2) 세대주로 인정되는 자ㅇ 세대주의 세대원인 배우자ㅇ 대출신청일로부터 3개월 이내에 결혼으로 인하여 세대주로 예정된 자2. 대출신청일 현재 세대주(예정자)를 포함한 세대원(예정자) 전원이 무주택인 고객3. 최근년도 또는 최근 1년간 부부합산 총소득이 5천만원 이하인 고객※ 단, 2자녀(미성년자) 이상 가구 6천만원 이하, 신혼가구는 7천5백만원 이하,중소기업 취업(창업)청년 버팀목전세자금대출은 부부합산 연소득 5천만원 이하(외벌이 가구 또는 단독세대주인 경우 3천5백만원 이하)4. 대출신청인 및 배우자의 합산 순자산가액이 통계청에서 발표하는 최근년도 가계금융복지조사의 ‘소득 5분위별 자산 및 부채현황’ 중 소득 3분위 전체가구 평균값 이하인 고객(2023년 기준, 3억 4천 5백만원)※ 증액갱신계약(월세에서 전세로 전환 포함)의 경우, 주민등록등본상 임차목적물에 1년(공공임대주택은 3개월) 이상 거주한 고객(확정일자 필수)☞ 부부합산 총소득이란 차주 및 배우자(결혼예정자 포함)의 근로소득(상여금 및 수당포함) 및 사업소득을 말함"
22,전월세/반환보증,전세사기피해자 특례보증 전세자금대출,상품특징국토교통부 작성 「전세사기피해자등 결정문」 상 ‘제2조제4호가목’ 또는 ‘다목’으로 결정받은 고객님께 임차보증금의 90% 이내로 최고 1억원까지 한국주택금융공사 보증서 담보로 지원하는 대출상품,"대출신청자격민법상 성년인 세대주 또는 세대주로 인정되는 자로서 「주택금융신용보증서」가 발급되는 고객으로서 아래의 사항을 모두 충족하는 임차인1. 임차보증금이 수도권 7억원(그 외 지역 5억원) 이하인 임대차계약을 체결하고, 임차보증금의 5% 이상을 지급한 경우2. 본인과 배우자(결혼예정자 포함)의 합산 주택수가 1주택* 이내인 경우* 보유 중인 주택이 2020.7.10일 이후 투기지역 또는 투기과열지구 내 소재한 주택으로서 취득시점 주택가액이 3억원을 초과하는 아파트를 구입한 경우에는 대출대상에서 제외. 단, 실수요 요건을 증빙하는 경우 신청 가능3. 「전세사기피해자 지원 및 주거안정에 관한 특별법」 상 금융지원*이 가능한 경우* 「전세사기피해자등 결정문」 상 ‘제2조제4호가목’ 또는 ‘다목’ 결정자"
23,전월세/반환보증,KB 청년 맞춤형 전세자금대출,상품특징청년층의 주거비용 경감을 위한 금융위원회 정책상품으로 만 19세 이상 만 34세 이하 무주택 청년 대상 은행 대출금리와 한국주택금융공사 보증료 우대 제공대학생 등 무소득자도 최대 2억원까지 대출신청 가능,"대출신청자격일반대출- 아래 조건을 모두 충족하는 만 19세 이상 만 34세 이하 무주택 세대주 또는 예비세대주주)(1) 임차보증금 수도권 7억원(그 외 지역 5억원) 이하(2) 임차보증금의 5% 이상 계약금 지급(3) 부부합산 연소득 7천만원 이하주) 예비세대주 : 대출실행일로부터 1개월 이내 세대주 요건을 충족하는 고객대환대출- 위 '일반대출' 조건을 모두 충족하고 잔여 임대차계약기간이 6개월 이상이면서, 금융기관에서 이용중인 대출 중 대출실행일로부터 6개월 이상 경과한 임차보증금 용도 대출을 연체없이 이용중인 고객(기존대출 전액상환이 가능한 고객)"
24,신용대출,KB 대학생·청년 햇살론[2020.05.14 판매중단],상품특징제2금융권 등에서 고금리 대출을 이용중이거나 생활자금이 필요한 청년·대학생이 신용회복위원회 신용보증을 통해 제도권 금융기관의 저금리대출로 전환하거나 생활자금을 지원하는 대출,"대출신청자격신용회복위원회의 신용보증서를 발급 받은 고객☞ 고금리전환자금 : 금융기관 및 대부업자로부터 연 15%이상 고금리 채무를 당행의 「KB 대학생·청년 햇살론」으로 전환하고자 하는 고객☞ 생활안정자금 : 생활비, 주거비, 의료비, 학원비, 교재비 등 생활안정자금이 필요한 고객"
25,신용대출,KB 처음EASY 신용대출,"상품특징통신정보 등 비금융데이터를 활용한 새로운 신용평가 방식을 적용하고, 다양한 소득인정기준을 활용하여 대출한도를 부여하는 신용대출 상품'내맘대로 통장자동대출' 적용상품으로, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","대출신청자격만 19세 이상의 (1) 또는 (2) 고객(1) 아래 ①, ② 조건을 모두 만족하는 직장인 사회초년생, 초기사업가, 사업소득원천징수대상자*, 아르바이트생(* 사업소득원천징수대상자 : 보험설계사, 자동차딜러, 학습지교사, 퀵서비스 배달원 등)① 재직 또는 사업기간이 3개월 이상 1년 미만(현재 직장/사업장 기준)② 최근 3개월 소득발생자 또는 최근 3개월 국민연금/건강보험료 납부자(2) 재직 또는 사업사실 확인이 불가한 고객 : 전업주부, 은퇴자 등※ 일정수준 이상의 소득이 있는 고객은 본 상품의 대출대상에서는 제외될 수 있습니다."
26,전월세/반환보증,KB 주택전세자금대출 (은행재원 협약보증),상품특징전세 신규입주 또는 계약갱신을 하시는 고객님께 최고 임차보증금의 80%까지 한국주택금융공사 보증서 담보로 지원하는 대출상품,"대출신청자격민법상 성년인 세대주 또는 세대주로 인정되는 자로서 「주택금융신용보증서」가 발급되는 고객으로서 아래의 사항을 모두 충족하는 고객1. 임차보증금이 수도권 7억원(그 외 지역 5억원) 이하인 임대차계약을 체결하고,임차보증금의 5% 이상을 지급한 경우2. 본인과 배우자(결혼예정자 포함)의 합산 주택수가 1주택* 이내인 경우* 보유 중인 주택이 2020.7.10일 이후 투기지역 또는 투기과열지구 내 소재한 주택으로서 취득시점 주택가액이 3억원을 초과하는 아파트를 구입한 경우에는 대출대상에서 제외. 단, 실수요 요건을 증빙하는 경우 신청 가능"
27,신용대출,KB i-STAR 직장인행복신용대출[2019.02.27 판매중단],상품특징중소법인기업 재직직원을 위한 무서류/무방문 인터넷전용 간편대출고객님이 추천한 고객이 추천번호 입력하여 동일 상품 신규한 경우 추천우대금리 혜택 제공,"대출신청자격동일 중소법인기업 3년 이상 재직중인 급여소득자로 아래 요건을 모두 충족하는 고객☞ 대출신청일 현재 최근 1년간 국민건강보험료(직장 가입자) 정상 납부 고객☞ 전년도 국세청홈택스 연간소득금액 25백만원 이상 고객☞ 대출신청일 현재 제2금융권 대출 미보유 고객※ 공무원, 군인, 선생님(교직원 포함), 금융기관, 공공기관, 언론기관, 대기업, 상장기업(코스닥 포함),의료기관 중 병원급 이상에 재직중인 고객님은 대상자가 아닙니다."
28,전월세/반환보증,KB스타 전세자금대출(갈아타기)(HUG_주택도시보증공사),상품특징주택도시보증공사의 「전세보증금반환보증」과 「전세자금대출특약보증」을 가입하여 전세계약 만료시 임차보증금을 안전하게 보장받고 대출금 지원도 가능한 전세자금 대출 상품,"대출신청자격「대출이동시스템」에 참여하는 타 금융기관의 ‘주택도시보증공사(HUG)’ 전세자금대출을 당행으로 전액 대환(차주 보유 전세자금대출이 1건인 경우만 가능)신청하고, 공인중개사의 중개를 통하여 1년 이상의 주택임대차계약 체결 및 임차보증금의 5% 이상을 지급한 임차인으로서, 다음 각호를 모두 충족하는 고객(1) 만 19세 이상 주민등록등본상 세대주 (단독세대주 포함)(2) 임차보증금이 수도권 7억원, 그 외 지역 5억원 이내로 임차계약기간이 1년 이상인 전세계약자(3) 주택도시보증공사의 「전세보증금반환보증」 과 「전세자금대출특약보증」가입이 가능한 고객(4) 본인과 배우자(결혼예정자 포함)의 합산 주택수가 1주택* 이내인 경우* 보유 중인 주택이 2020.7.10일 이후 투기지역 또는 투기과열지구 내 소재한 주택으로서 취득시점 주택가액이 3억원을 초과하는 아파트를 구입한 경우에는 대출대상에서 제외. [※실수요 예외인정 없음](5) 다음 중 하나에 해당하는 자(가) 재직사실 확인 및 소득 증빙이 가능한 근로소득자(나) 최근년도 소득금액증명원 또는 사업소득원천징수영수증(연말정산용) 발급이 가능한 개인사업자(6) 본인 소득만으로 대출한도 부여가 가능한 고객 (배우자 소득합산 불가)다만 다음 각 호의 하나에 해당하는 경우 대출대상에서 제외한다.(1) 외국인 및 재외국민(2) 당행 임직원(3) CSS 10등급 이하인 자(4) 신용관리대상자 및 당행/타금융기관 연체중인 자(5) 신청일 기준 최근 5년 이내 주민등록말소 이력(거주불명등록)이 존재하는 자(6) 대출신청일 기준으로 최근 1년 내 3회 이상 전출 이력이 있는 경우(단, 최근 1년 이상 재직이 증빙되는 근로소득자 및 3년 이상 소득이 증빙되는 사업자는 예외)(7) 대출이동시스템을 통한 타행 상환조건부를 제외한 모든 조건부 대출(예 : 임차목적물 선순위 말소조건부 등)(8) 임대차 계약이 임차인 또는 임대인 대리에 의한 계약인 경우(9) 공동임차인이 있거나 연대보증인을 입보해야하는 경우(10) 대상목적물이 미등기 건물인 경우(11) 임차목적물의 주택가격 산정 방법 중 공사가 선정한 감정평가기관의 감정평가서를 대출 신청인에게 제출받아 주택가격을 산정하고자 하는 경우(12) 채권양도 “통지” 外 방식으로 채권보전조치가 필요한 경우(13) 규제대상아파트 보유자로서 실수요 예외 인정사유에 해당하여 취급하는 경우(14) 본 건 이외 진행중인 다른 대출이 있는 경우(15) 배우자가 분양권(입주권)을 보유한 경우"
29,신용대출,신용대출 장기분할상환 전환제도,상품특징만기도래시 연체발생 우려가 있는 대출 또는 원리금 연체기간이 90일 미만인 일시상환 대출을 상환부담을 완화할 수 있는 분할 신용대출로 전환,대출신청자격개인신용평가시스템(CSS) 등에 의해 산출된 의무상환금액(잔액 X 의무상환비율(최대 20%))만큼을 상환한 신용관리정보 등록이 없는 고객
